Start,Duration,Class of Type,Event Type,Kind of Object,Event Object,Comment,Tag,Status
2021-08-07 19:30,180,Unclassified,Connect,Unclassified,Friends,Drinks with Erica and Shan,,Done
2021-08-07 22:30,30,Unclassified,Consume,Unclassified,Podcast,"BBC World News, Sway: Airlines
Transit Grab Erica-Home",,Done
2021-08-07 23:00,30,Unclassified,Consume,Unclassified,Mobile,"Converted Kahneman’s books
Sent to Taylor and myself ",,Done
2021-08-07 23:30,30,Unclassified,Care,Unclassified,Masturbation,,,Done
2021-08-08 00:00,450,Unclassified,Circadian,Unclassified,,,,Done
2021-08-08 07:30,30,Unclassified,Consume,Unclassified,Podcast,"BBC World News
Getting ready for Beach",,Done
2021-08-08 08:00,30,Unclassified,Connect,Unclassified,Friends,Transit to Beach with cynch ,,Done
2021-08-08 08:30,30,Unclassified,Connect,Unclassified,Friends,Palawan Beach set up with cynch ,,Done
2021-08-08 09:00,30,Unclassified,Consume,Unclassified,Books,"Doughnut Economics 
Cynch, Palawan Beach",,Done
2021-08-08 09:30,30,Unclassified,Circadian,Unclassified,,Nap on the beach,,Done
2021-08-08 10:00,30,Unclassified,Connect,Unclassified,Family,Google Hangouts,,Done
2021-08-08 10:30,30,Unclassified,Connect,Unclassified,Friends,Chips and discussing kids while eavesdropping on our Spanish speaking neighbours ,,Done
2021-08-08 11:00,30,Unclassified,Consume,Unclassified,Books,When I Lived in Modern Times,,Done
2021-08-08 11:30,30,Unclassified,Circadian,Unclassified,,Nap on the beach,,Done
2021-08-08 12:00,30,Unclassified,Connect,Unclassified,Friends,"Guava and cookies. 
Discussing the impending weather ",,Done
2021-08-08 12:30,30,Unclassified,Connect,Unclassified,Friends,Transit to Anchorpoint,,Done
2021-08-08 13:00,30,Unclassified,Connect,Unclassified,Friends,Shopping at Anchorpoint,,Done
2021-08-08 13:30,30,Unclassified,Consume,Unclassified,Podcast,"BBC World News, Sway: Airlines
Transit Home with Cynch",,Done
2021-08-08 14:00,30,Unclassified,Consume,Unclassified,Podcast,"Sway: Airlines, hysteria 
Transit Home with Cynch, takeaway Greendot",,Done
2021-08-08 14:30,30,Unclassified,Consume,Unclassified,Podcast,"Hysteria 
Transit Home from PlazaSing",,Done
2021-08-08 15:00,30,Unclassified,Consume,Unclassified,Movies ,"Grey’s anatomy 
Din tai Fung leftovers ",,Done
2021-08-08 15:30,30,Unclassified,Create,Unclassified,Knitting,"Taylor’s blanket 
Grey’s Anatomy ",,Done
2021-08-08 16:00,30,Unclassified,Consume,Unclassified,Movies ,"Grey’s Anatomy 
Popcorn ",,Done
2021-08-08 16:30,30,Unclassified,Consume,Unclassified,Mobile,Grey’s anatomy,,Done
2021-08-08 17:00,30,Unclassified,Create,Unclassified,Knitting,Grey’s Anatomy ,,Done
2021-08-08 17:30,120,Unclassified,Circadian,Unclassified,,Nap on the couch,,Done
2021-08-08 19:30,30,Unclassified,Consume,Unclassified,Movies ,"Grey’s Anatomy
Potato salad and corn 
Laundry ",,Done
2021-08-08 20:00,30,Unclassified,Connect,Unclassified,Friends,Girls hang ,,Done
2021-08-08 20:30,30,Unclassified,Consume,Unclassified,Podcast,"Hysteria
Laundry and Packing for Sleepover",,Done
2021-08-08 21:00,30,Unclassified,Consume,Unclassified,Books,When I lived in Modern times ,,Done
2021-08-08 21:30,30,Unclassified,Consume,Unclassified,Books,"When I lived in Modern Times, Girlhood",,Done
2021-08-08 22:00,30,Unclassified,Circadian,Unclassified,,Calm: Meditation ,,Done
2021-08-08 22:30,480,Unclassified,Circadian,Unclassified,,,,Done
2021-08-09 06:30,30,Unclassified,Consume,Unclassified,Podcast,"Hysteria
Getting ready for transit",,Done
2021-08-09 07:00,30,Unclassified,Consume,Unclassified,Podcast,"BBC world news 
Transit to Taylor",,Done
2021-08-09 07:30,30,Unclassified,Consume,Unclassified,Mobile,"Duolingo, Chani, Calm",,Done
